2025-02-12 16:52:58,603 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 16:55:39,971 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 16:58:26,441 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 16:58:39,786 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 16:58:50,855 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 16:59:19,277 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:08:40,409 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:17:12,617 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:17:28,925 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:25:11,107 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:25:28,772 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:25:32,431 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:25:34,609 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:25:36,733 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:27:48,294 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:27:52,430 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:42:13,985 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:47:54,805 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:48:24,371 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:48:49,342 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:49:17,414 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 17:55:10,580 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-12 18:06:55,950 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:12:13,073 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:14:29,526 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:22:12,084 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:23:19,540 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:23:51,931 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:24:05,697 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:24:17,998 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:26:11,027 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:26:19,070 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:28:42,238 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:32:15,083 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:40:00,879 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:40:18,969 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 17:53:27,942 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 18:21:38,574 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
2025-02-14 18:21:47,005 - ERROR - Error applying accent color to tabview: ['button_color', 'button_hover_color', 'selected_button_color', 'selected_text_color', 'border_color', 'text_font'] are not supported arguments. Look at the documentation for supported arguments.
